 Position.x[m] Position.z[m]
384999993.2591943741 72044.5714095338
384999993.2400034666 72147.0530177370
384999993.2207853198 72249.5346259350
384999993.2015398741 72352.0162341279
384999993.1822671294 72454.4978423157
384999993.1629670858 72556.9794504983
384999993.1436398029 72659.4610586758
384999993.1242852807 72761.9426668482
384999993.1049033999 72864.4242750154
384999993.0854942799 72966.9058831774
384999993.0660578609 73069.3874913343
384999993.0465942025 73171.8690994860
384999993.0271031857 73274.3507076325
384999993.0075849891 73376.8323157738
384999992.9880394340 73479.3139239099
384999992.9684666395 73581.7955320408
384999992.9488666058 73684.2771401665
384999992.9292392135 73786.7587482870
384999992.9095845222 73889.2403564023
384999992.8899025917 73991.7219645123
384999992.8701934218 74094.2035726170
384999992.8504569530 74196.6851807166
384999992.8306932449 74299.1667888108
384999992.8109021783 74401.6483968998
384999992.7910838723 74504.1300049835
384999992.7712382674 74606.6116130620
384999992.7513653636 74709.0932211351
384999992.7314652205 74811.5748292030
384999992.7115377784 74914.0564372656
384999992.6915830374 75016.5380453228
384999992.6716010571 75119.0196533748
384999992.6515918374 75221.5012614214
384999992.6315552592 75323.9828694627
384999992.6114913821 75426.4644774986
384999992.5914003253 75528.9460855292
384999992.5712819099 75631.4276935545
384999992.5511362553 75733.9093015744
384999992.5309633017 75836.3909095889
384999992.5107631087 75938.8725175981
384999992.4905356169 76041.3541256019
384999992.4702807665 76143.8357336003
384999992.4499987364 76246.3173415933
384999992.4296894073 76348.7989495808
384999992.4093527794 76451.2805575630
384999992.3889889121 76553.7621655398
384999992.3685976863 76656.2437735111
384999992.3481792212 76758.7253814771
384999992.3277335167 76861.2069894375
384999992.3072604537 76963.6885973926
384999992.2867601514 77066.1702053421
384999992.2662326097 77168.6518132862
384999992.2456777692 77271.1334212249
384999992.2250956297 77373.6150291581
384999992.2044861913 77476.0966370857
384999992.1838495135 77578.5782450079
384999992.1631855369 77681.0598529246
384999992.1424942613 77783.5414608358
384999992.1217758060 77886.0230687415
384999992.1010299921 77988.5046766417
384999992.0802568793 78090.9862845363
384999992.0594564676 78193.4678924254
384999992.0386288762 78295.9495003090
384999992.0177739263 78398.4311081870
384999991.9968917370 78500.9127160595
384999991.9759822488 78603.3943239264
384999991.9550455213 78705.8759317877
384999991.9340814352 78808.3575396435
384999991.9130901694 78910.8391474937
384999991.8920715451 79013.3207553382
384999991.8710256815 79115.8023631772
384999991.8499524593 79218.2839710106
384999991.8288520575 79320.7655788383
384999991.8077243567 79423.2471866605
384999991.7865693569 79525.7287944770
384999991.7653870583 79628.2104022879
384999991.7441775203 79730.6920100931
384999991.7229406834 79833.1736178927
384999991.7016765475 79935.6552256867
384999991.6803851724 80038.1368334749
384999991.6590664983 80140.6184412575
384999991.6377205253 80243.1000490344
384999991.6163473129 80345.5816568057
384999991.5949468017 80448.0632645712
384999991.5735190511 80550.5448723311
384999991.5520639420 80653.0264800852
384999991.5305815935 80755.5080878336
384999991.5090720057 80857.9896955763
384999991.4875350595 80960.4713033133
384999991.4659708738 81062.9529110445
384999991.4443794489 81165.4345187700
384999991.4227606654 81267.9161264897
384999991.4011147022 81370.3977342037
384999991.3794413805 81472.8793419119
384999991.3577408195 81575.3609496144
384999991.3360128999 81677.8425573110
384999991.3142578006 81780.3241650019
384999991.2924753428 81882.8057726870
384999991.2706656456 81985.2873803663
384999991.2488287091 82087.7689880397
384999991.2269644737 82190.2505957074
384999991.2050729394 82292.7322033692
384999991.1831541061 82395.2138110252
384999991.1612080336 82497.6954186754
384999991.1392346621 82600.1770263197
384999991.1172339916 82702.6586339581
384999991.0952060819 82805.1402415907
384999991.0731508732 82907.6218492175
384999991.0510683656 83010.1034568383
384999991.0289586186 83112.5850644533
384999991.0068215728 83215.0666720624
384999990.9846572280 83317.5482796656
384999990.9624656439 83420.0298872629
384999990.9402467608 83522.5114948542
384999990.9180005789 83624.9931024397
384999990.8957271576 83727.4747100192
